nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0067033,Hans Behrendt,1889,1942,"writer,director,actor","tt0013829,tt0340177,tt0018857,tt1315376"
nm0067055,Eduard Behrens,\N,\N,writer,"tt0156582,tt0021929"
nm0067103,S.N. Behrman,1893,1973,"writer,script_department","tt0051915,tt0021348,tt0033238,tt0043949"
nm0067128,I. Bei-Abai,\N,\N,writer,tt0016570
nm0067308,Ian Hay,1876,1952,"writer,miscellaneous","tt0026029,tt0027646,tt0028212,tt0019483"
nm0067356,Leopoldo Bejarano,\N,\N,writer,tt0018477
nm0067384,Amo Bek-Nazaryan,1892,1965,"director,writer,actor","tt0184073,tt0230911,tt0259264,tt0259602"
nm0067584,David Belasco,1853,1931,"writer,miscellaneous,producer","tt0107501,tt0026926,tt0004545,tt0021439"
nm0067676,Charles Belden,1904,1954,"writer,script_department,archive_footage","tt0397065,tt0025109,tt0024368,tt0028941"
nm0068087,C.W. Bell,\N,\N,writer,"tt0011555,tt0139921,tt0022254"
nm0068179,Edward Bell,\N,\N,writer,tt0003370
nm0068186,Emma Bell Clifton,1874,1922,"writer,actress,script_department","tt0010369,tt0008717,tt0012881,tt0011006"
nm0068419,Monta Bell,1891,1958,"producer,director,writer","tt0024789,tt0021868,tt0021568,tt0016023"
nm0068451,Pearl Doles Bell,1885,1968,writer,"tt0014922,tt0012851,tt0011284,tt0015302"
nm0068467,Ralph W. Bell,1883,1936,"actor,writer","tt0020770,tt0020773,tt0010573,tt0197484"
nm0068650,James Warner Bellah,1899,1976,"writer,actor","tt0056217,tt0023926,tt0040369,tt0044110"
nm0068696,George Bellamy,1866,1944,"actor,director","tt0127667,tt0962757,tt0011404,tt0008677"
nm0070251,Jacinto Benavente,1866,1954,"writer,director","tt0010414,tt0009230,tt0014348,tt0012555"
nm0070361,Robert Benchley,1889,1945,"actor,writer,producer","tt0038652,tt0032484,tt0029157,tt0034091"
nm0070374,Edoardo Bencivenga,\N,\N,director,"tt0193242,tt1485023,tt0126273,tt0268502"
nm0070948,Stephen Vincent Benet,1898,1943,writer,"tt0047472,tt0033532,tt0044418,tt0016148"
nm0071557,Robert Ames Bennet,1870,1954,writer,"tt0231588,tt0009187,tt0006863,tt0018889"
nm0071560,Spencer Gordon Bennet,1893,1987,"director,producer,actor","tt0282813,tt0015930,tt0024192,tt0019696"
nm0071596,Arnold Bennett,1867,1931,writer,"tt0008864,tt0012640,tt0020269,tt0012236"
nm0071637,Buford Bennett,\N,\N,writer,tt0018960
nm0071657,Charles Bennett,1899,1995,"writer,director,actor","tt0049470,tt0032484,tt0026029,tt0041616"
nm0071658,Charles Bennett,1893,1943,"actor,director,soundtrack","tt0025907,tt0014672,tt0231990,tt0009862"
nm0071665,Chester Bennett,1892,1943,"director,producer","tt0013615,tt0015674,tt0322011,tt0015573"
nm0071852,Juanita Bennett,\N,\N,writer,tt0002398
nm0071992,Richard Bennett,1870,1944,"actor,writer,miscellaneous","tt0035015,tt0021622,tt0019012,tt0003815"
nm0072185,Andrew Bennison,1886,1942,"writer,director,miscellaneous","tt0023586,tt0020408,tt0021209,tt0018584"
nm0072315,Pierre Benoît,1886,1962,"writer,archive_footage","tt0031876,tt0049060,tt0010969,tt0189057"
nm0072328,Jean Benoît-Lévy,1888,1959,"director,producer,writer","tt0027730,tt0024310,tt0143749,tt0143315"
nm0072493,Frank R. Benson,1858,1939,"actor,director,production_designer","tt0125529,tt0001715,tt0001857,tt0014705"
nm0072739,Dwinelle Benthall,1890,1931,writer,"tt0018733,tt0015663,tt0015872,tt0019104"
nm0072805,E.C. Bentley,1875,1956,writer,"tt0020513,tt0011788,tt0045259,tt0397776"
nm0072872,Thomas Bentley,1884,1966,"director,writer,actor","tt0165079,tt0004938,tt0010336,tt0338301"
nm0072911,Curtis Benton,1885,1938,"actor,writer","tt0006333,tt0017339,tt0015447,tt0014276"
