nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0148023,Jack Celestin,1892,1949,writer,"tt0128310,tt0027481,tt0213848,tt0026655"
nm0148568,André Cerf,1902,1993,"writer,assistant_director,actor","tt1954594,tt0140362,tt0138803,tt0195384"
nm0148754,James Cerr,\N,\N,writer,tt0003207
nm0148859,Miguel de Cervantes y Saavedra,1547,1616,"writer,archive_footage","tt6151214,tt0023956,tt0016806,tt0204285"
nm0149493,Lee Chadwick,\N,\N,"writer,script_department,producer","tt0022895,tt0165696,tt0023520,tt0022940"
nm0150042,Stephen Chalmers,1880,1935,writer,"tt0017079,tt0012552,tt0013997"
nm0150045,Thomas Chalmers,1884,1966,"actor,director,producer","tt0058437,tt0019413,tt0487683,tt4085244"
nm0150163,George Agnew Chamberlain,1879,1966,writer,"tt0036926,tt0039757,tt0050135,tt0015491"
nm0150279,Barbara Chambers,\N,\N,writer,tt0018200
nm0150292,C. Haddon Chambers,1860,1921,writer,"tt0163142,tt0011557,tt0005305,tt0004137"
nm0150432,Robert W. Chambers,1865,1933,"writer,miscellaneous","tt0009936,tt0006719,tt0009114,tt0025607"
nm0151249,Jules Chancel,1867,1944,writer,tt0020112
nm0151310,Harry Chandlee,1882,1956,"writer,editor,miscellaneous","tt0034167,tt0017702,tt0019433,tt0019352"
nm0151606,Lon Chaney,1883,1930,"actor,director,writer","tt0021505,tt0014142,tt0014972,tt0016220"
nm0151949,Roy Chanslor,1899,1964,writer,"tt0027349,tt0030515,tt0038360,tt0037253"
nm0152156,Anna Alice Chapin,1880,1920,writer,"tt0133802,tt0010651,tt0051312,tt0011484"
nm0152158,Benjamin Chapin,1872,1918,"actor,producer,director","tt0334395,tt1452579,tt1353989,tt1354037"
nm0152165,Frederick Chapin,1873,1947,"writer,actor,composer","tt0011093,tt0023309,tt0011413,tt0015463"
nm0152169,James Chapin,1889,1924,"director,assistant_director,miscellaneous","tt0014647,tt0015382,tt0015463,tt0135466"
nm0152256,Prescott Chaplin,1896,1968,writer,"tt0024245,tt0045337,tt0037702,tt0037109"
nm0152260,Syd Chaplin,1885,1965,"actor,director,writer","tt0016643,tt0012352,tt0005661,tt0005076"
nm0152658,Joe Mitchell Chapple,1868,1950,"writer,producer","tt0005408,tt0011925"
nm0152707,Aleksei Chapygin,1870,1937,writer,"tt0022595,tt0031978,tt0235447"
nm0152826,Pyotr Chardynin,1872,1934,"director,actor,writer","tt0347593,tt0228767,tt21482420,tt21482442"
nm0152834,Erik Charell,1895,1974,"writer,director,producer","tt0022034,tt0045763,tt0044743,tt0040214"
nm0153266,André Charlot,1882,1956,"actor,director,producer","tt0020852,tt0170087,tt0313008,tt0037636"
nm0153546,Leslie Charteris,1907,1993,"writer,music_department,actor","tt0120053,tt0055701,tt0033014,tt0037859"
nm0153666,Tex Charwate,1879,\N,"writer,actress","tt0009728,tt0009079,tt0009482,tt0009530"
nm0153713,Charley Chase,1893,1940,"actor,director,writer","tt0028024,tt0144765,tt0024280,tt0028059"
nm0153765,Gertrude Chase,1888,\N,writer,tt0014869
nm0154087,Alexandre Chatrian,1826,1890,writer,"tt0008875,tt0177518,tt0334938,tt0027825"
nm0154267,Louis Chaudet,1884,1965,"director,writer,actor","tt0013294,tt0189434,tt0303908,tt0017451"
nm0154352,Emile Chautard,1864,1934,"director,actor,writer","tt0010499,tt0023458,tt0143092,tt0008255"
nm0154374,Charles Chauvel,1897,1959,"director,writer,producer","tt0048227,tt0041900,tt0024176,tt0037212"
nm0155009,Anton Chekhov,1860,1904,"writer,actor,script_department","tt2758880,tt15413262,tt0037325,tt0063569"
nm0156160,Yevgeni Chervyakov,1899,1942,"actor,director,writer","tt0018269,tt0019175,tt0229866,tt0229601"
nm0156173,George Chesebro,1888,1959,"actor,director,archive_footage","tt0016545,tt0012293,tt0005763,tt0008568"
nm0156261,Charles W. Chesnutt,1858,1932,writer,"tt0023655,tt0230099,tt0330413,tt0043228"
nm0156318,George Randolph Chester,1870,1924,"writer,editor,director","tt0012713,tt0007061,tt0011098,tt0013694"
nm0156328,Lillian Christy Chester,1887,1961,"editor,writer,director","tt0012713,tt0011098,tt0190146,tt0008288"
nm0156614,Albert Chevalier,1861,1923,"writer,actor,soundtrack","tt0005791,tt0005739,tt0017186,tt0259303"
nm0156961,Grace Chiang,\N,\N,"actress,writer","tt0173446,tt0023138,tt0019515,tt0020333"
nm0157102,Mikheil Chiaureli,1894,1974,"director,writer,actor","tt0169566,tt0038673,tt0041727,tt0030928"
nm0157291,Chief Yellow Robe,1870,1930,"actor,writer",tt0020405
nm0157478,Richard Washburn Child,1881,1935,writer,"tt0018906,tt0016034,tt0004292,tt0016063"
nm0158081,Josephine Chippo,1901,1982,"script_department,writer","tt0018579,tt0017727"
nm0158737,Edward Chodorov,1904,1988,"writer,producer,miscellaneous","tt0040740,tt0023872,tt0027845,tt0030783"
nm0158963,Mary Cholmondeley,\N,\N,writer,"tt0009539,tt0048916"
nm0159015,Segundo de Chomón,1871,1929,"director,cinematographer,writer","tt0001366,tt0881394,tt0001364,tt0001113"
nm0159271,André Chotin,1892,1954,"director,writer,miscellaneous","tt0159050,tt0037602,tt0328817,tt0182855"
nm0159414,Jean Choux,1887,1946,"director,writer,editor","tt0137259,tt0031876,tt0143791,tt0239605"
nm0159654,Louis H. Chrispijn,1854,1926,"director,actor,writer","tt0004271,tt0224358,tt0164083,tt0389794"
nm0159725,Benjamin Christensen,1879,1959,"director,writer,actor","tt0005529,tt0013257,tt0020004,tt0018166"
nm0160280,Al Christie,1881,1951,"producer,director,writer","tt0032566,tt0005785,tt0464718,tt0010211"
nm0160325,Harold Christie,1899,\N,"writer,soundtrack","tt0016615,tt0020596"
nm0160330,Howard Christie,1912,1992,"producer,assistant_director,production_manager","tt0050073,tt0044333,tt0038341,tt0043593"
nm0160478,Djalmar Christofersen,\N,\N,writer,"tt2371630,tt2363482,tt0129246,tt0006397"
nm0160759,Maxim Chrumow,\N,\N,writer,tt0013687
nm0161428,Douglas W. Churchill,\N,1942,writer,"tt0022268,tt0021296,tt0024857"
nm0161477,Winston Churchill,1871,1947,writer,"tt0005965,tt0011141,tt0012318,tt0006557"
nm0163229,René Clair,1898,1981,"writer,director,producer","tt0039823,tt0044409,tt0022599,tt0048133"
nm0163332,Robert Clampett,1913,1984,"director,animation_department,writer","tt0145637,tt0044462,tt0830486,tt11185774"
nm0163349,Carl Stearns Clancy,1890,1971,"producer,director,writer","tt0013223,tt0437614,tt0437615,tt0467267"
nm0163424,Cecil B. Clapp,\N,\N,writer,tt0005997
nm0163425,Chester B. Clapp,\N,\N,writer,"tt0006299,tt0008367,tt0008570,tt0008595"
nm0163535,G.C. Claren,1900,\N,writer,"tt0021835,tt0028223"
nm0163540,Hal Clarendon,1876,1959,"actor,director","tt0003048,tt0007628,tt0005138,tt0007146"
nm0163714,Bobby Clark,1888,1960,"actor,writer,archive_footage","tt0039123,tt0026371,tt0240604,tt0024051"
nm0163786,Colbert Clark,1898,1960,"producer,miscellaneous,writer","tt0024663,tt0024768,tt0024936,tt0024780"
nm0163902,Edward Clark,1878,1954,"actor,writer,soundtrack","tt0018357,tt0042279,tt0017290,tt0016685"
nm0163937,Frank Howard Clark,1888,1962,"writer,director,script_department","tt0019459,tt0015053,tt0158171,tt0015505"
nm0164009,Herbert C. Clark,\N,\N,writer,"tt0017882,tt0018398,tt0018176,tt0164888"
nm0164596,Violet Clark,1896,1974,writer,"tt0016168,tt0015884,tt0013077,tt0017933"
nm0164737,Donald Henderson Clarke,1887,1958,writer,"tt0024008,tt0031450,tt0035937,tt0022149"
nm0164783,Grant Clarke,1891,1931,"music_department,writer,soundtrack","tt0491175,tt0120873,tt1152836,tt0093389"
nm0164795,J.I.C. Clarke,1846,1925,writer,tt0006716
nm0164856,Kenneth B. Clarke,1880,1948,writer,"tt0009697,tt0006849,tt0128803,tt0009588"
nm0164859,Kerry Clarke,\N,\N,writer,tt0018470
nm0164888,Marcus Clarke,1846,1881,writer,"tt0017899,tt0001731,tt0203505,tt0083957"
nm0165308,Carl Clausen,\N,\N,writer,"tt0012565,tt0027843"
nm0165470,Elliott J. Clawson,1883,1942,"writer,script_department,producer","tt0018792,tt0019348,tt0019398,tt0020088"
nm0166013,Georges Clemenceau,1841,1929,"writer,archive_footage,archive_sound","tt0011739,tt0443285,tt0400929,tt0426688"
nm0166034,LeRoy Clemens,1888,1951,writer,"tt0018639,tt0032191,tt0025215,tt0020118"
nm0166101,Kay Clement,1876,1944,"writer,miscellaneous",tt0017595
nm0166209,Colin Clements,1894,1948,"writer,script_department","tt0020726,tt0021442,tt0033709,tt0040036"
nm0166259,Roy Clements,1877,1948,"director,writer,actor","tt0013408,tt0018547,tt0012119,tt0013060"
nm0166619,Eugene Clifford,1886,1941,writer,"tt0017891,tt0016071,tt0016319,tt0017064"
nm0166671,Frank Terry,1871,1948,"actor,writer,miscellaneous","tt4172220,tt0142388,tt0010256,tt0009430"
nm0166690,W.C. Clifford,\N,\N,writer,"tt0017444,tt0321680,tt0217522,tt0017745"
nm0166693,William H. Clifford,1874,1938,"writer,director,producer","tt0015143,tt0187397,tt0165952,tt0161491"
nm0166700,Denison Clift,1885,1961,"writer,director,producer","tt0019982,tt0012714,tt0014905,tt0014998"
nm0166718,Arthur Shaw Clifton,\N,\N,"assistant_director,actor,writer","tt0004509,tt0004137,tt0005387"
nm0166730,Elmer Clifton,1890,1949,"director,writer,actor","tt0030725,tt0008917,tt0033747,tt0036697"
nm0166777,Wallace Clifton,1871,1931,writer,"tt0013860,tt0013771,tt0013209,tt0013694"
nm0166836,Edward F. Cline,1891,1961,"director,actor,writer","tt0011984,tt0011071,tt0012255,tt0039513"
nm0166909,B.F. Clinton,1879,1919,"writer,director,actor","tt3030406,tt4602862,tt2290083,tt0002829"
nm0167032,Gustav von Seyffertitz,1863,1943,"actor,director,soundtrack","tt0013597,tt0023458,tt0031951,tt0021800"
nm0167202,J. Storer Clouston,1870,1944,writer,"tt0008354,tt0031968,tt0018122,tt0176952"
nm0167241,Henri-Georges Clouzot,1907,1977,"writer,director,producer","tt0046268,tt0046911,tt0041634,tt0054452"
nm0167424,John B. Clymer,1887,1937,"writer,script_department","tt0012293,tt0023984,tt0021543,tt0029649"
nm0167633,Franklin B. Coates,1879,\N,"actor,director,writer","tt0011624,tt0009561,tt0135482,tt0007209"
nm0167769,Irvin S. Cobb,1876,1944,"writer,actor,miscellaneous","tt0027042,tt0027587,tt0009049,tt0013131"
nm0168031,Walter J. Coburn,1889,1971,writer,"tt0018261,tt0017804,tt0024512,tt0017876"
nm0168255,Nan Cochrane,\N,\N,"writer,script_department","tt0019930,tt0020033"
nm0168356,Francis M. Cockrell,1906,1987,"writer,director","tt0047708,tt0056777,tt0030631,tt0045911"
nm0168413,Jean Cocteau,1889,1963,"writer,actor,director","tt0038348,tt0041719,tt0039135,tt0054377"
nm0168503,Juan María Codina,\N,1936,"director,writer,cinematographer","tt0008284,tt0008970,tt0003465,tt0009955"
nm0168621,Buffalo Bill Cody,1846,1917,"writer,producer,actor","tt0016869,tt0020999,tt0021643,tt0486270"
nm0168633,Charles Francis Coe,1890,1956,writer,"tt0025163,tt0019154,tt0029292,tt0018708"
nm0168829,Lenore J. Coffee,1896,1984,"writer,script_department,miscellaneous","tt0030149,tt0018203,tt0024685,tt0037379"
nm0168915,Edwin R. Coffin,1887,1942,"writer,director","tt0005046,tt0433213,tt0812314,tt0296637"
nm0169009,James Cogan,\N,1921,"actor,writer","tt0000650,tt0009024"
nm0169088,Nick Cogley,1869,1936,"actor,director,writer","tt0005842,tt0014644,tt0002371,tt0005656"
nm0169125,George M. Cohan,1878,1942,"writer,music_department,actor","tt0023334,tt0098384,tt0204946,tt0008561"
nm0169139,Phil Cohan,\N,\N,writer,tt0023393
nm0169243,Bennett Cohen,1890,1964,"writer,director,producer","tt0016768,tt0024663,tt0017139,tt0312889"
nm0169251,Bill Cohen,\N,\N,"production_department,miscellaneous,writer","tt0086879,tt0024472,tt0107896,tt0103404"
nm0169318,David Daniel Cohen,1872,1913,writer,"tt0004314,tt0011451"
nm0169556,Lester Cohen,1901,1963,"writer,script_department","tt0024372,tt0025586,tt0026134,tt0019800"
nm0169595,Martin G. Cohn,1893,1953,"editor,editorial_department,producer","tt0132018,tt0023938,tt0132951,tt0134289"
nm0169606,Max Cohen,1889,1935,"writer,producer,miscellaneous","tt0330523,tt0019853"
nm0169665,Octavus Roy Cohen,1891,1959,"writer,actor","tt0021396,tt0028357,tt0027132,tt0020586"
nm0169871,Émile Cohl,1857,1938,"director,animation_department,writer","tt1003447,tt1003400,tt1003497,tt0794279"
nm0169878,Alfred Cohn,1867,1932,"director,actor","tt2363052,tt2363060,tt0002642,tt2363482"
nm0169879,Alfred A. Cohn,1880,1951,"writer,director,editor","tt0018037,tt0015191,tt0020080,tt0123906"
nm0169905,J.J. Cohn,1895,1996,"producer,production_manager,miscellaneous","tt0297449,tt0205658,tt0349135"
nm0170401,Anthony Coldeway,1887,1963,"writer,director,script_department","tt0031774,tt0018945,tt0026701,tt0034804"
nm0170660,Lester Cole,1904,1985,"writer,miscellaneous,archive_footage","tt0032635,tt0027154,tt0037954,tt0029205"
nm0170863,A.E. Coleby,1876,1930,"director,writer,actor","tt1244618,tt0348290,tt1244626,tt0325397"
nm0170959,Brysis Coleman,\N,\N,writer,"tt0019384,tt0019562,tt0018654"
nm0170973,Charles C. Coleman,1900,1972,"assistant_director,director,location_management","tt0043924,tt0047437,tt0043014,tt0043338"
nm0171372,Colette,1873,1954,"writer,soundtrack,archive_footage","tt0051658,tt1179258,tt0939845,tt0047756"
nm0171874,William Collier Sr.,1864,1944,"actor,writer,miscellaneous","tt0021508,tt0027413,tt0025845,tt0020227"
nm0171887,Constance Collier,1878,1955,"actress,writer,miscellaneous","tt0040746,tt0028757,tt0038453,tt0039698"
nm0171994,Gustaf Collijn,\N,\N,writer,tt0022098
nm0172074,Pierre Collings,1900,1937,"writer,cinematographer,script_department","tt0028313,tt0016935,tt0016931,tt0016548"
nm0172246,Dale Collins,1897,1956,writer,"tt0021365,tt0023395,tt0019348,tt0021963"
nm0172313,Frank J. Collins,1887,1955,writer,"tt0048199,tt0023240,tt0032747"
nm0172352,Jack Collins,\N,1926,writer,"tt0124761,tt0017595,tt0273545"
nm0172413,John H. Collins,1889,1918,"director,writer,actor","tt0005084,tt0008004,tt0009551,tt0006923"
nm0172485,Lewis D. Collins,1899,1954,"director,writer,assistant_director","tt0030664,tt0033426,tt0030405,tt0025895"
nm0172559,Monte Collins,1898,1951,"actor,writer,miscellaneous","tt0040208,tt0041431,tt0034563,tt0039799"
nm0172677,Sewell Collins,1876,1934,"writer,director","tt0164452,tt0150314,tt0307231,tt0323235"
nm0172741,Wilkie Collins,1824,1889,writer,"tt0040974,tt0025515,tt0011685,tt0008656"
nm0172812,Wilson Collison,1893,1941,writer,"tt0036407,tt0023382,tt0039935,tt0032809"
nm0173213,Henri Colpi,1921,2006,"director,writer,editor","tt0054426,tt0129831,tt0054632,tt0052893"
nm0173303,John Colton,1887,1946,"writer,editor","tt0019585,tt0027800,tt0019501,tt0017735"
nm0173416,Pinto Colvig,1892,1967,"actor,writer,animation_department","tt14705552,tt0018951,tt15777738,tt0167545"
nm0173500,Guillermo Colón,\N,\N,writer,tt0015824
nm0173532,Adele Comandini,1898,1987,"writer,producer","tt0028373,tt0037595,tt0032247,tt0044277"
nm0173810,Will Levington Comfort,1878,1932,writer,"tt0024592,tt0018425,tt0239233,tt0459377"
nm0174105,Harriet T. Comstock,1860,1950,writer,"tt0015392,tt0008604,tt0007188,tt0012686"
nm0174106,Howard Warren Comstock,1899,1938,writer,"tt0022827,tt0023511"
nm0174377,Charles R. Condon,1894,1960,writer,"tt0028776,tt0214714,tt0024304,tt0030041"
nm0174387,Frank Condon,1882,1940,writer,"tt0015060,tt0013364,tt0356581,tt0014480"
nm0174688,Frank Roland Conklin,1903,1963,writer,"tt0014996,tt0148436,tt0017368,tt0173859"
nm0174690,Hal Conklin,1903,1979,"actor,writer","tt0041014,tt0017437,tt0019414,tt0014172"
nm0174789,Lige Conley,1897,1937,"actor,writer,director","tt0423965,tt0487663,tt0030712,tt0018115"
nm0174892,Jacob Conn,\N,\N,writer,tt0024035
nm0175028,Richard Connell,1893,1949,"writer,soundtrack","tt0033891,tt0023238,tt0040556,tt0037408"
nm0175091,Marc Connelly,1890,1980,"writer,actor,miscellaneous","tt0028691,tt0034881,tt0051003,tt0027700"
nm0175194,Barry Conners,1883,1933,"writer,miscellaneous","tt0022753,tt0022421,tt0022649,tt0023202"
nm0175333,Myles Connolly,1897,1964,"writer,producer,miscellaneous","tt0043633,tt0037104,tt0024501,tt0029056"
nm0175410,Frank O'Connor,1881,1959,"actor,director,writer","tt0030666,tt0020722,tt0016011,tt0016660"
nm0175451,Ralph Connor,1860,1937,writer,"tt0012026,tt0008061,tt0012225,tt0014251"
nm0175579,Jean Conover,\N,\N,"writer,director,editor","tt0330487,tt0017124,tt0016107,tt0408768"
nm0175676,Joseph Conrad,1857,1924,"writer,archive_footage","tt0075968,tt24071428,tt0028212,tt8558804"
nm0175902,William M. Conselman,1896,1940,"writer,miscellaneous,producer","tt0024286,tt0020315,tt0018250,tt0025431"
nm0175908,John W. Considine Jr.,1898,1961,"producer,miscellaneous,writer","tt0021276,tt0026663,tt0023926,tt0020663"
nm0175915,Mildred Considine,1887,1933,"writer,actress","tt0012975,tt0011232,tt0009106,tt0175620"
nm0176472,Miguel Contreras Torres,1899,1981,"director,producer,writer","tt0276633,tt0228647,tt0276429,tt0036499"
nm0176694,Harry Conway,\N,\N,writer,tt0008817
nm0176699,Jack Conway,1887,1952,"director,actor,producer","tt0025948,tt0025173,tt0019400,tt0016300"
nm0176700,James Conway,\N,\N,"director,actor","tt0012463,tt0013283,tt0013799,tt0335097"
nm0176713,John W. Conway,1888,1928,writer,"tt0018787,tt0135522,tt0019423,tt0017703"
nm0176846,Jack Coogan Sr.,1887,1935,"miscellaneous,actor,producer","tt0013965,tt0013713,tt0017009,tt0016174"
nm0176847,Lillian Coogan,1892,1977,writer,tt0013965
nm0177025,Edward Tyas Cook,\N,\N,writer,tt0005334
nm0177342,William Wallace Cook,1867,1933,writer,"tt0016076,tt0018313,tt0007610,tt0018275"
nm0177386,Caroline Frances Cooke,1875,1962,"actress,writer","tt0031951,tt0016640,tt0303908,tt2265127"
nm0177468,Marjorie Benton Cooke,1876,1920,writer,"tt0012393,tt0011288,tt0155838,tt0017124"
nm0177597,Florence Maule Cooley,\N,\N,writer,"tt0002822,tt0235000"
nm0177641,Karl R. Coolidge,1890,1964,"writer,director","tt0012104,tt0014875,tt0014508,tt0010361"
nm0177655,Romain Coolus,1868,1952,writer,"tt0333165,tt0017633,tt0160656,tt0160752"
nm0177862,Arthur Melbourne Cooper,1874,1961,"director,writer,cinematographer","tt1735401,tt1266645,tt1254274,tt1265639"
nm0177960,Courtney Ryley Cooper,1886,1940,"writer,archive_footage","tt0019557,tt0014875,tt1029168,tt0014439"
nm0178057,George A. Cooper,1886,1947,"director,writer,producer","tt0025860,tt0144601,tt0020151,tt0165132"
nm0178089,Henry St. John Cooper,\N,\N,writer,tt0017441
nm0178126,James Fenimore Cooper,1789,1851,"writer,archive_footage","tt0104691,tt10165794,tt0039729,tt29545300"
nm0178260,Merian C. Cooper,1893,1973,"producer,writer,miscellaneous","tt0024216,tt0360717,tt0120751,tt0024264"
nm0178934,François Coppée,1842,1908,writer,"tt0184539,tt0142199,tt0898391,tt0201542"
nm0179075,Kate Corbaley,1878,1938,writer,"tt0009535,tt0190391,tt0152485,tt0010156"
nm0179159,James Corbett,\N,\N,"editor,writer,director","tt0175900,tt0021744,tt0016723,tt0040739"
nm0179325,Frances G. Corcoran,\N,\N,writer,tt0004911
nm0179740,Marie Corelli,1855,1924,writer,"tt0011000,tt0017419,tt0246684,tt0346048"
nm0179993,Bartlett Cormack,1898,1942,"writer,actor,assistant_director","tt0022022,tt0027652,tt0023335,tt0021890"
nm0180077,Eugène Cormon,1811,1903,"writer,soundtrack","tt0416320,tt0012532,tt0003761,tt0006190"
nm0180135,Enrique Cornejo Villanueva,\N,\N,"director,actor,writer",tt0018121
nm0180860,João Freire Correia,\N,\N,"producer,director,cinematographer","tt4433708,tt0000836,tt0001563,tt0000580"
nm0180987,Lloyd Corrigan,1900,1969,"actor,writer,director","tt0057193,tt0056218,tt0038409,tt0037698"
nm0181603,Claire Corvalho,\N,\N,writer,"tt0024482,tt0023474"
nm0181837,John Cosgrove,1867,1925,"actor,writer,director","tt0336532,tt0451334,tt0433214,tt0344025"
nm0182945,Victor de Cottens,1862,1956,"writer,actor","tt0197972,tt0000567,tt0189893"
nm0183018,José Cottinelli Telmo,1897,1948,"director,actor,writer","tt0023871,tt0030486,tt0030516"
nm0183278,Pierre Couderc,1896,1966,"writer,producer,actor","tt0020740,tt0022267,tt0019463,tt0004457"
nm0183801,Georges Courteline,1858,1929,"writer,archive_footage","tt0022924,tt0214549,tt0330737,tt0961166"
nm0183821,Syd Courtenay,1888,1937,"writer,actor,director","tt0148872,tt0025612,tt0023605,tt0167348"
nm0183968,William B. Courtney,1894,1966,writer,"tt0012164,tt0011693,tt0011708,tt0330569"
nm0184005,Albert de Courville,1887,1960,"director,writer,producer","tt0025990,tt0027090,tt0023580,tt0026196"
nm0184632,Sada Cowan,1882,1943,writer,"tt0016361,tt0015944,tt0012299,tt0014853"
nm0184726,Laurence Cowen,1865,1942,"writer,director,producer","tt1868021,tt2268639,tt0023710,tt0004837"
nm0184738,William J. Cowen,1886,1964,"director,writer,assistant_director","tt0019957,tt0029921,tt0026001,tt0031383"
nm0184782,George Cowl,1878,1942,"actor,director","tt0021011,tt0010499,tt0007698,tt0175722"
nm0184785,Jane Cowl,1884,1950,"writer,actress","tt0005374,tt0043910,tt0034203,tt0041255"
nm0185301,Muriel Hine Coxen,\N,\N,writer,tt0015803
nm0185426,Ignacio Coyne,\N,\N,"cinematographer,director,writer","tt0000959,tt0001007,tt0001069,tt0001081"
nm0185501,Ray Cozine,1898,1973,"director,assistant_director","tt0021058,tt6529474,tt0174867,tt13094260"
nm0185516,James Gould Cozzens,1903,1978,writer,"tt0047756,tt0023955,tt0054710,tt0075592"
nm0185714,William James Craft,1886,1931,"director,writer,cinematographer","tt0158136,tt0020058,tt0017278,tt0015732"
nm0185839,Dorin Craig,\N,\N,writer,"tt0285649,tt0014285"
nm0186118,Mildred Cram,1889,1985,"writer,miscellaneous","tt0050105,tt0031593,tt0027041,tt0017439"
nm0186276,Roland Crandall,1892,1972,"animation_department,director,actor","tt0379940,tt0026257,tt0031397,tt0025665"
nm0186345,Frank Hall Crane,1873,1948,"actor,director,writer","tt0006101,tt0005300,tt0005821,tt0010584"
nm0186390,Mack Crane,\N,\N,writer,tt0023825
nm0186600,Frank Craven,1875,1945,"actor,writer,director","tt0032881,tt0026097,tt0036376,tt0032342"
nm0186766,F. Oakley Crawford,\N,\N,writer,"tt0016660,tt0017987,tt0016201"
nm0186769,Francis Marion Crawford,1854,1909,"writer,soundtrack","tt0022412,tt0014605,tt0014151,tt0024770"
nm0187036,Eliot Crawshay-Williams,\N,\N,writer,"tt0021853,tt0022118,tt0023455,tt0161874"
nm0187256,James Ashmore Creelman,1894,1941,"writer,director,editor","tt0024216,tt0074751,tt0023238,tt0017991"
nm0187317,Walter Creighton,1878,1958,"director,actor,writer","tt0027347,tt0021213,tt0001658,tt1661441"
nm0187981,Donald Crisp,1882,1974,"actor,director,writer","tt0033729,tt0009968,tt0026752,tt0004972"
nm0188105,Quirino Cristiani,1896,1984,"director,animation_department,writer","tt0196839,tt0007646,tt0196636,tt0196560"
nm0188274,Thomas J. Crizer,1888,1963,"actor,editor,writer","tt0014429,tt0019417,tt0012642,tt0019444"
nm0188357,Harry Crocker,1893,1958,"actor,miscellaneous,assistant_director","tt0021749,tt0018773,tt0024073,tt0018357"
nm0188426,S.R. Crockett,\N,\N,writer,"tt0013315,tt0012416"
nm0188544,Francis de Croisset,1877,1937,"writer,soundtrack,archive_footage","tt0034399,tt0022639,tt0154329,tt0030337"
nm0188632,Fernand Crommelynck,1886,1970,"writer,actor","tt0255867,tt0272729,tt0030958,tt0151117"
nm0188669,John Cromwell,1886,1979,"director,actor,writer","tt0029442,tt0029855,tt0038303,tt0042296"
nm0188701,George Crone,1894,1966,"editor,director,writer","tt0023499,tt0214714,tt0033265,tt0018898"
nm0189034,Percy Crosby,1891,1964,writer,"tt0022397,tt0022414,tt37432060"
nm0189049,Vivian Crosby,1901,1963,"writer,actress","tt0024339,tt0024698,tt0052488,tt0044296"
nm0189076,Alan Crosland,1894,1936,"director,writer,producer","tt0026724,tt0013593,tt0013763,tt0018037"
nm0189401,Janet Crothers,1893,1930,writer,"tt0017467,tt0015796,tt0017053"
nm0189405,Rachel Crothers,1870,1958,writer,"tt0024763,tt0034386,tt0021060,tt0027033"
nm0189868,Homer Croy,1883,1965,"writer,director","tt0020490,tt0031469,tt0027719,tt0026595"
nm0190516,James Cruze,1884,1942,"actor,director,producer","tt0013951,tt0021361,tt0024482,tt0019839"
nm0191133,Antonio Cuesta,\N,\N,"director,cinematographer,writer","tt0002743,tt0000584,tt0002763,tt0000739"
nm0191386,Shamus Culhane,1908,1996,"director,animation_department,producer","tt0029583,tt0156229,tt0148558,tt0156708"
nm0191524,Robert Cullen,\N,\N,"writer,director,production_manager","tt0155808,tt0027311,tt0240492,tt0020601"
nm0191547,Johnston McCulley,1883,1958,"writer,archive_footage","tt0120746,tt0386140,tt0011439,tt0016989"
nm0191605,Webster Cullison,1880,1938,"director,actor,assistant_director","tt0012226,tt0018055,tt0010293,tt0004982"
nm0191643,Ridgwell Cullum,1867,1943,writer,"tt0011797,tt0013797,tt0008603,tt0173348"
nm0191885,Dwight Cummins,1902,1985,"writer,editor","tt0018874,tt0020335,tt0127663,tt0019216"
nm0191897,Hugh Cummings,1891,1953,"miscellaneous,writer,script_department","tt0028117,tt0023810,tt0031867,tt0021233"
nm0191899,Irving Cummings,1888,1959,"actor,director,producer","tt0026252,tt0020018,tt0013103,tt0013356"
nm0191901,Jack Cummings,1905,1989,"producer,director,writer","tt0047472,tt0041928,tt0036025,tt6860576"
nm0191956,Ruth Cummings,1894,1984,"writer,actress","tt0019598,tt0018624,tt0017632,tt0008265"
nm0192062,Grace Cunard,1893,1967,"actress,writer,director","tt0234934,tt0317863,tt0298456,tt0008476"
nm0192165,Antonio Cunhal,\N,\N,director,tt0022068
nm0192234,Ann Cunningham,\N,\N,"actress,writer,miscellaneous","tt0025763,tt0073958,tt0165592,tt1877567"
nm0192242,Bill Cunningham,\N,\N,writer,tt0021761
nm0192325,Jack Cunningham,1882,1941,"writer,producer,miscellaneous","tt0011093,tt0011939,tt0016654,tt0018624"
nm0192657,François de Curel,1854,1928,"writer,archive_footage","tt0021468,tt0009578,tt0300943,tt0053663"
nm0192810,Charles W. Curran,\N,\N,writer,"tt0031421,tt0024387,tt0228252,tt0031021"
nm0192869,Pearl Lenore Curran,\N,\N,writer,tt0011848
nm0193017,Victor Currier,\N,\N,writer,tt0019264
nm0193240,Allen Curtis,1878,1961,"director,writer,producer","tt0328874,tt0921855,tt0328959,tt0329422"
nm0193327,Edward S. Curtis,1868,1952,"director,writer,camera_department","tt0004150,tt2015496,tt0158930"
nm0193354,Jack Curtis,1880,1956,"actor,writer,archive_footage","tt0014759,tt0007314,tt0005408,tt0023885"
nm0193419,Leslie Curtis,\N,\N,writer,"tt0017451,tt0018555,tt0130676"
nm0193617,James Oliver Curwood,1878,1927,"writer,producer,miscellaneous","tt0026223,tt0009900,tt0027007,tt0169357"
