tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0023945,movie,The Devil's in Love,The Devil's in Love,0,1933,\N,70,"Drama,Romance,Thriller",nm0226189,"nm0381152,nm0261455",5.9,188
tt0023946,movie,Dick Turpin,Dick Turpin,0,1934,\N,79,Drama,"nm0359310,nm0821301","nm0014728,nm1267918,nm0393970,nm0447655",5.6,20
tt0023947,short,Dinah,Dinah,0,1933,\N,8,"Animation,Music,Short","nm0281487,nm0854910",\N,7.5,78
tt0023948,movie,Dinner at Eight,Dinner at Eight,0,1933,\N,111,Drama,nm0002030,"nm0547966,nm0542534,nm0442151,nm0272209,nm0829330,nm0576046",7.5,9680
tt0023949,movie,Diplomaniacs,Diplomaniacs,0,1933,\N,61,"Comedy,Musical",nm0782682,"nm0000581,nm0616730",6.3,383
tt0023950,short,Dirty Work,Dirty Work,0,1933,\N,19,"Comedy,Sci-Fi,Short",nm0294137,nm0907778,7.4,2180
tt0023951,movie,Disgraced,Disgraced,0,1933,\N,66,"Mystery,Romance",nm0448915,"nm0552289,nm0002316",6.9,109
tt0023952,short,The Dish Ran Away with the Spoon,The Dish Ran Away with the Spoon,0,1933,\N,7,"Animation,Comedy,Family",nm0411208,\N,5.7,298
tt0023954,movie,Djurgårdsnätter,Djurgårdsnätter,0,1933,\N,104,"Comedy,Drama",nm0734845,"nm0526588,nm0734845",4.7,38
tt0023955,movie,Doctor Bull,Doctor Bull,0,1933,\N,77,"Comedy,Drama,Romance",nm0000406,"nm0185516,nm0338233,nm0458934",6.4,797
tt0023956,movie,Don Quixote,Don Quixote,0,1933,\N,73,"Adventure,Comedy,Drama",nm0655065,"nm0148859,nm0036749,nm0268513,nm0603008,nm0655065",6.5,415
tt0023957,movie,Don't Bet on Love,Don't Bet on Love,0,1933,\N,62,"Comedy,Drama",nm0744954,"nm0736911,nm0744954,nm0752427",5.9,168
tt0023959,movie,Doss House,Doss House,0,1933,\N,53,Crime,nm0062759,nm0043986,5.6,20
tt0023960,movie,Double Harness,Double Harness,0,1933,\N,69,"Comedy,Drama",nm0188669,"nm0613848,nm0599772",6.8,1403
tt0023962,short,Down by the Old Mill Stream,Down by the Old Mill Stream,0,1933,\N,8,"Animation,Music,Short","nm0281487,nm0101466",\N,5.3,24
tt0023963,movie,"Knock, ou le triomphe de la médecine","Knock, ou le triomphe de la médecine",0,1933,\N,95,Comedy,"nm0332651,nm0431212","nm0627410,nm0738653",7.5,82
tt0023965,short,Dream Stuff,Dream Stuff,0,1933,\N,20,"Comedy,Short",nm0064415,\N,6.6,19
tt0023966,movie,Three Bluejackets and a Blonde,"Drei blaue Jungs, ein blondes Mädel",0,1933,\N,88,Comedy,nm0091380,nm0238276,5.9,46
tt0023967,movie,Drum Taps,Drum Taps,0,1933,\N,61,"Action,Drama,Romance",nm0569645,"nm0416258,nm0569645",5.4,84
tt0023968,movie,Du sollst nicht begehren...,Du sollst nicht begehren...,0,1933,\N,83,\N,nm0774072,nm0774072,1.6,25
tt0023969,movie,Duck Soup,Duck Soup,0,1933,\N,69,"Comedy,Musical",nm0564970,"nm0436095,nm0748438,nm0790654,nm0674759",7.7,65096
tt0023970,movie,The Dude Bandit,The Dude Bandit,0,1933,\N,62,"Drama,Western",nm0577654,nm0622435,5.3,112
tt0023971,movie,Twenty-Six Commissars,Dvadtsat shest komissarov,0,1932,\N,109,Drama,nm0790828,"nm1462240,nm0747694,nm0790828",6.6,84
tt0023973,movie,The Eagle and the Hawk,The Eagle and the Hawk,0,1933,\N,73,"Action,Drama,War","nm0908234,nm0500552","nm0589316,nm0736752,nm0766850",7.0,1515
tt0023974,movie,Early to Bed,Early to Bed,0,1933,\N,83,Musical,nm0003490,"nm0509510,nm0829038,nm0844459",6.8,16
tt0023975,movie,East of Fifth Avenue,East of Fifth Avenue,0,1933,\N,74,Drama,nm0736610,"nm0505272,nm0842485",7.3,80
tt0023977,short,Easy on the Eyes,Easy on the Eyes,0,1933,\N,22,"Comedy,Short",nm0550892,\N,5.4,19
tt0023978,movie,Egy éj Velencében,Egy éj Velencében,0,1934,\N,69,Comedy,nm0025926,nm0903160,5.7,30
