nconst	tconst
nm3788160	tt27744786
nm3788160	tt33014583
nm3193037	tt1180583
nm2911221	tt6864046
nm0001732	tt0067328
nm0001732	tt0075314
nm0564247	tt0119707
nm0564247	tt0112462
nm0564247	tt0095088
nm0704664	tt0988108
nm1365883	tt1592281
nm0625680	tt0057251
nm0120410	tt0113497
nm0120410	tt0443489
nm0041225	tt0120458
nm0041225	tt1951264
nm0041225	tt4769836
nm0041225	tt1648179
nm0389015	tt0246578
nm0389015	tt0114367
nm0389015	tt0103893
nm2539328	tt0461936
nm2539328	tt1985981
nm2539328	tt13130948
nm0958420	tt1038919
nm0958420	tt0137363
nm0958420	tt1185416
nm0958420	tt0368008
nm0038280	tt0209463
nm0218172	tt3522806
nm0218172	tt0951216
nm4208519	tt0458481
nm4208519	tt2883512
nm4208519	tt1905040
nm4208519	tt2002718
nm10514458	tt18412256
nm10514458	tt1877830
nm10514458	tt19770238
nm10514458	tt21261712
nm0717265	tt0066769
nm0717265	tt0060955
nm0635409	tt1139797
nm0635409	tt1228987
nm0635409	tt4995790
nm0236313	tt0842929
nm0236313	tt0299977
nm0236313	tt0212712
nm0236313	tt0118694
nm2093171	tt4281724
nm2093171	tt10403420
nm2093171	tt27911000
nm0783384	tt0042531
nm1478447	tt2241351
nm4765044	tt21837726
nm0407101	tt3411444
nm0407101	tt2268016
nm0407101	tt1821658
nm0407101	tt2262227
nm1467000	tt10888594
nm8119362	tt5312232
nm8119362	tt8983228
nm1482895	tt2402157
nm1482895	tt1291652
nm0170344	tt0039224
nm0140634	tt0075824
nm0140634	tt0071487
nm1784423	tt13234058
nm0490417	tt1654523
nm0277383	tt0878804
nm0277383	tt0102713
nm0042083	tt0017075
nm5637317	tt2855648
nm0634282	tt0056217
nm0634282	tt0082406
nm0634282	tt0045555
nm0634282	tt0076618
nm2309517	tt5726616
nm2309517	tt1285016
nm2309517	tt1210819
nm2309517	tt1616195
nm0386991	tt0085750
nm0542181	tt6135348
nm0443856	tt0078788
nm0443856	tt0099422
nm0443856	tt0086856
nm0443856	tt0106856
